path	line	owner	baseline	refined_class
02_shell/src/cli.rs	704	value_to_json	UNKNOWN	BINDING-DEPENDENT
03_infra/src/shaper.rs	328	shape_item	UNKNOWN	OVERLAP-OR-SUBSUMPTION
03_infra/src/shaper.rs	2353	get_item_x	UNKNOWN	OVERLAP-OR-SUBSUMPTION
03_infra/src/shaper.rs	2367	set_item_x	UNKNOWN	OVERLAP-OR-SUBSUMPTION
03_infra/src/shaper.rs	2394	get_item_y	UNKNOWN	OVERLAP-OR-SUBSUMPTION
03_infra/src/shaper.rs	2508	fix_line_positions_page	UNKNOWN	OVERLAP-OR-SUBSUMPTION
03_infra/src/query_helpers.rs	270	has_any_text	UNKNOWN	BINDING-DEPENDENT
03_infra/src/query_helpers.rs	276	has_any_text	UNKNOWN	OVERLAP-OR-SUBSUMPTION
03_infra/src/query_helpers.rs	293	has_any_text	UNKNOWN	BINDING-DEPENDENT
03_infra/src/query_helpers.rs	349	count_variant	UNKNOWN	BINDING-DEPENDENT
03_infra/src/query_helpers.rs	353	count_variant	UNKNOWN	OVERLAP-OR-SUBSUMPTION
03_infra/src/query_helpers.rs	370	count_variant	UNKNOWN	BINDING-DEPENDENT
03_infra/src/layout_bidi.rs	96	item_baseline_y	UNKNOWN	OVERLAP-OR-SUBSUMPTION
03_infra/src/layout_bidi.rs	113	item_x	UNKNOWN	OVERLAP-OR-SUBSUMPTION
03_infra/src/integration_tests.rs	2061	frame_item_pos	UNKNOWN	OVERLAP-OR-SUBSUMPTION
03_infra/src/integration_tests.rs	3715	texto_do_doc	UNKNOWN	OVERLAP-OR-SUBSUMPTION
03_infra/src/world.rs	754	read_path	UNKNOWN	MACRO-EQUIVALENCE
03_infra/src/world.rs	789	read_bytes	UNKNOWN	MACRO-EQUIVALENCE
01_core/src/compiler/introspect.rs	84	walk	UNKNOWN	OVERLAP-OR-SUBSUMPTION
01_core/src/compiler/introspect.rs	85	walk	UNKNOWN	BINDING-DEPENDENT
01_core/src/compiler/introspect.rs	123	walk	UNKNOWN	EMPTY-EQUIVALENCE
01_core/src/compiler/introspect.rs	557	materialize_time	UNKNOWN	OVERLAP-OR-SUBSUMPTION
01_core/src/compiler/introspect.rs	1353	walk	UNKNOWN	BINDING-DEPENDENT
01_core/src/compiler/introspect.rs	1366	walk	UNKNOWN	BINDING-DEPENDENT
01_core/src/compiler/introspect.rs	1526	walk	UNKNOWN	BINDING-DEPENDENT
01_core/src/compiler/introspect.rs	1663	walk	UNKNOWN	NO-LONGER-EQUIVALENT
03_infra/src/export/render.rs	192	render_item	UNKNOWN	EMPTY-EQUIVALENCE
03_infra/src/export/render.rs	229	render_item	UNKNOWN	OVERLAP-OR-SUBSUMPTION
03_infra/src/export/html.rs	405	supports_adjacent_space	UNKNOWN	BINDING-DEPENDENT
01_core/src/entities/content.rs	2672	page_column_segments	UNKNOWN	MACRO-EQUIVALENCE
